=== OBSERWATOR START 11:32:37 ===
konto AWS: 750702271865
UTC      | quota q(max)     | exc/1m  | p50ms  | q/1m    | 5XX/1m  | 4XX/1m
09:32:38 | 68/inf           | 0       | nan    | 0       | 0       | 0     
09:33:10 | 68/inf           | 0       | nan    | 0       | 0       | 0     
09:33:42 | 78/inf           | 0       | 10     | 1       | 0       | 0     
09:34:14 | 107/inf          | 0       | 9      | 39      | 0       | 0     
09:34:45 | 127/inf          | 0       | 9      | 49      | 0       | 0     
09:35:18 | 1402/inf         | 0       | 9      | 991     | 0.0     | 0.0   
09:35:50 | 3590/inf         | 0       | 8      | 3046    | 0.0     | 0.0   
09:36:22 | 6477/inf         | 0       | 8      | 4073    | 0.0     | 5.0   
09:36:53 | 9170/inf         | 0       | 8      | 5165    | 0.0     | 5.0   
09:37:25 | 12344/inf        | 0       | 8      | 5159    | 0.0     | 1531.0
09:37:57 | 15539/inf        | 0       | 8      | 5506    | 0.0     | 1531.0
09:38:29 | 18704/inf        | 0       | 8      | 5353    | 0.0     | 0.0   
09:39:00 | 21899/inf        | 0       | 8      | 5181    | 0.0     | 7.0   
09:39:32 | 25075/inf        | 0       | 8      | 5869    | 0.0     | 7.0   
09:40:04 | 28278/inf        | 0       | 8      | 5701    | 0.0     | 14.0  
09:40:36 | 31436/inf        | 0       | 8      | 5532    | 0.0     | 14.0  
09:41:08 | 34622/inf        | 0       | 8      | 5362    | 0.0     | 12.0  
09:41:39 | 36670/inf        | 0       | 8      | 4871    | 0.0     | 12.0  
09:42:11 | 36680/inf        | 0       | 8      | 1681    | 0.0     | 22.0  
09:42:43 | 36707/inf        | 0       | 9      | 37      | 0.0     | 22.0  
09:43:15 | 36727/inf        | 0       | 9      | 47      | 0.0     | 12.0  
09:43:48 | 36727/inf        | 0       | 9      | 10      | 0.0     | 12.0  
09:44:20 | 36727/inf        | 0       | nan    | 0       | 0.0     | 0.0   
09:44:52 | 36727/inf        | 0       | nan    | 0       | 0.0     | 0.0   
09:45:23 | 36727/inf        | 0       | nan    | 0       | 0       | 0     
09:45:55 | 36727/inf        | 0       | nan    | 0       | 0       | 0     
09:46:27 | 36727/inf        | 0       | nan    | 0       | 0       | 0     

