=== OBSERWATOR v2 START 12:40:04 ===
konto AWS: 750702271865
rdzeni logicznych boxa: 24
UTC      | quota q(max)   | exc/1m | p50   | p95   | q/1m   | load1  | 5XX/1m | 4XX/1m
10:40:10 | 30/inf         | 0      | 9     | 12    | 30     | 6.5    | 0      | 0     
10:40:41 | 56/inf         | 0      | 9     | 12    | 55     | 5.8    | 0      | 0     
10:41:13 | 76/inf         | 0      | 9     | 12    | 46     | 4.5    | 0.0    | 0.0   
10:41:45 | 128/inf        | 0      | 9     | 15    | 72     | 3.4    | 0.0    | 0.0   
10:42:17 | 196/inf        | 0      | 9     | 14    | 116    | 5.2    | 0.0    | 0.0   
10:42:49 | 248/inf        | 0      | 9     | 16    | 103    | 4.4    | 0.0    | 0.0   
10:43:21 | 299/inf        | 0      | 9     | 16    | 103    | 4.3    | 0.0    | 3.0   
10:43:53 | 352/inf        | 0      | 9     | 16    | 103    | 3.4    | 0.0    | 3.0   
10:44:25 | 403/inf        | 0      | 9     | 17    | 102    | 7      | 0.0    | 0.0   
10:44:57 | 455/inf        | 0      | 9     | 16    | 86     | 5.8    | 0.0    | 0.0   
10:45:28 | 524/inf        | 0      | 9     | 16    | 88     | 5.5    | 0.0    | 0.0   
10:46:00 | 575/inf        | 0      | 9     | 15    | 89     | 5.1    | 0.0    | 0.0   
10:46:32 | 626/inf        | 0      | 9     | 17    | 85     | 6.8    | 0.0    | 0.0   
10:47:04 | 643/inf        | 0      | 8     | 16    | 67     | 5.5    | 0.0    | 0.0   
10:47:36 | 923/inf        | 0      | 9     | 90    | 64     | 4.7    | 0.0    | 0.0   
10:48:08 | 3011/inf       | 0      | 9     | 19    | 2034   | 7.3    | 0.0    | 0.0   
10:48:40 | 5690/inf       | 0      | 8     | 11    | 3800   | 6.3    | 0.0    | 0.0   
10:49:12 | 8885/inf       | 0      | 8     | 10    | 5486   | 4.9    | 0.0    | 0.0   
10:49:44 | 12089/inf      | 0      | 8     | 9     | 5692   | 4.8    | 0.0    | 0.0   
10:50:16 | 15281/inf      | 0      | 8     | 12    | 5523   | 7.8    | 0.0    | 2.0   
10:50:48 | 18502/inf      | 0      | 8     | 11    | 5354   | 6.8    | 0.0    | 2.0   
10:51:20 | 21681/inf      | 0      | 8     | 9     | 5182   | 6.2    | 0.0    | 1.0   
10:51:52 | 24892/inf      | 0      | 8     | 9     | 5772   | 6      | 0.0    | 1.0   
10:52:24 | 28067/inf      | 0      | 8     | 11    | 5605   | 7.3    | 0.0    | 2.0   
10:52:56 | 31267/inf      | 0      | 8     | 11    | 5434   | 6.1    | 0.0    | 2.0   
10:53:28 | 34449/inf      | 0      | 8     | 10    | 5266   | 5.2    | 0.0    | 4.0   
10:53:59 | 37126/inf      | 0      | 8     | 9     | 5378   | 4.9    | 0.0    | 6.0   
10:54:32 | 37127/inf      | 0      | 8     | 9     | 2178   | 5.6    | 0.0    | 6.0   
10:55:04 | 37158/inf      | 0      | 9     | 12    | 32     | 4.6    | 0.0    | 7.0   
10:55:36 | 37178/inf      | 0      | 9     | 12    | 41     | 7      | 0.0    | 7.0   
10:56:08 | 37178/inf      | 0      | 9     | 12    | 10     | 9.2    | 0.0    | 0.0   
10:56:40 | 37178/inf      | 0      | nan   | nan   | 0      | 16.6   | 0.0    | 0.0   
10:57:12 | 37178/inf      | 0      | nan   | nan   | 0      | 11.8   | 0.0    | 0.0   
10:57:44 | 37178/inf      | 0      | nan   | nan   | 0      | 10.6   | 0.0    | 0.0   
10:58:15 | 37178/inf      | 0      | nan   | nan   | 0      | 11.2   | 0      | 0     
10:58:47 | 37178/inf      | 0      | nan   | nan   | 0      | 7.4    | 0      | 0     
10:59:19 | 37178/inf      | 0      | nan   | nan   | 0      | 5.7    | 0      | 0     
10:59:51 | 37178/inf      | 0      | nan   | nan   | 0      | 4.1    | 0      | 0     
11:00:23 | 0/inf          | 0      | nan   | nan   | 0      | 5.7    | 0      | 0     
11:00:55 | 0/inf          | 0      | nan   | nan   | 0      | 4.8    | 0      | 0     
11:01:26 | 0/inf          | 0      | nan   | nan   | 0      | 4.8    | 0      | 0     
11:01:58 | 0/inf          | 0      | nan   | nan   | 0      | 4.4    | 0      | 0     

