=== OBSERWATOR v3 START 14:44:23 — bieg 1000 req/s ===
konto AWS: 750702271865
UTC      | PRICES quota  exc  p50  p95  q/1m   | SBEw p50   p95   q/1m  | load1 | 5XX  4XX 
12:44:26 | 1/inf         0    12   12   1      | e0   2     120   271   | 3.2   | 0    0   
12:44:58 | 29/inf        0    9    12   28     | e0   3     121   269   | 3.2   | 0    0   
12:45:30 | 56/inf        0    10   13   55     | e0   2     120   256   | 3.4   | 0    0   
12:46:02 | 61/inf        0    11   13   27     | e0   2     124   252   | 3.5   | 0    0   
12:46:34 | 989/inf       0    8    11   834    | e0   2     122   290   | 4.5   | 0    0   
12:47:06 | 2949/inf      0    9    11   2685   | e0   2     121   269   | 4.3   | 0    0   
12:47:37 | 7678/inf      0    8    10   5235   | e0   2     125   253   | 4.5   | 0    0   
12:48:09 | 19896/inf     0    7    58   13983  | e0   2     131   228   | 14    | 0    0   
12:48:41 | 40694/inf     0    6    34   26723  | e0   2     137   237   | 12.6  | 0    0   
12:49:15 | 72535/inf     0    7    57   43882  | e0   2     143   275   | 45.9  | 0    7   
12:49:56 | 104007/inf    0    89   1132 35408  | e0   6     330   203   | 141.8 | 0    47  
12:50:31 | 132491/inf    0    346  1166 26008  | e0   92    1012  99    | 247.5 | 0    47  
12:51:07 | 148678/inf    0    451  1203 36588  | e0   4     571   312   | 174.6 | 6810 69  
12:51:39 | 148688/inf    0    441  1096 9193   | e0   3     135   430   | 107   | 6810 69  
12:52:11 | 148708/inf    0    8    11   30     | e0   3     124   273   | 61.1  | 8055 50  
12:52:44 | 148708/inf    0    8    10   10     | e0   3     126   263   | 38.2  | 8055 50  
12:53:15 | 148708/inf    0    nan  nan  0      | e0   2     124   243   | 24.6  | 0    0   
12:53:47 | 148708/inf    0    nan  nan  0      | e0   2     119   295   | 14.8  | 0    0   
12:54:19 | 148708/inf    0    nan  nan  0      | e0   2     127   270   | 10    | 0    0   
12:54:52 | 148708/inf    0    nan  nan  0      | e0   2     120   266   | 6.8   | 0    0   
12:55:24 | 148708/inf    0    nan  nan  0      | e0   2     120   268   | 5.2   | 0    0   
12:55:57 | 148708/inf    0    nan  nan  0      | e0   2     123   272   | 4.4   | 0    0   
12:56:28 | 148708/inf    0    nan  nan  0      | e0   2     124   280   | 4.1   | 0    0   
12:57:00 | 148708/inf    0    nan  nan  0      | e0   2     124   234   | 4     | 0    0   
12:57:32 | 148708/inf    0    nan  nan  0      | e0   2     122   248   | 3.3   | 0    0   
12:58:08 | 148708/inf    0    nan  nan  0      | e0   2     122   253   | 2.7   | 0    0   
12:58:40 | 148708/inf    0    nan  nan  0      | e0   2     110   289   | 2.6   | 0    0   
12:59:11 | 148708/inf    0    nan  nan  0      | e0   2     118   270   | 2.6   | 0    0   
12:59:44 | 148708/inf    0    nan  nan  0      | e0   2     121   266   | 2.4   | 0    0   
13:00:22 | 0/inf         0    nan  nan  0      | e0   2     122   266   | 2.8   | 0    0   
13:00:54 | 0/inf         0    nan  nan  0      | e0   2     117   260   | 3.1   | 0    0   
13:01:25 | 0/inf         0    nan  nan  0      | e0   2     121   256   | 2.6   | 0    0   

