[dump-swap-events] dir=.temp/FC47D9FF--62400000-62463999 files=60545 filter=<none> include_diagnostic=false

=== summary ===
  files scanned:  60545
  files failed:   0
  events seen:    234312389
  events emitted: 54241079

=== topic[0] histogram ===
    25942651  fee
    23223120  transfer
     4298450  mint
      303049  burn
      201457  set_authorized
      163438  clawback
       23567  swap
       20222  update_reserves
       19050  trade
        4891  pool_state
        3559  REDSTONE
        3513  REFLECTOR
        2938  supply
        2893  withdraw
        2638  vault_withdraw
        2519  vault_deposit
        2512  SoroswapPair
        2426  supply_collateral
        2386  withdraw_collateral
        1702  claim_reward
        1198  score_submitted
        1084  charge_provider_fee
         885  SoroswapRouter
         854  approve
         816  deposit_liquidity
         652  REDEEM
         625  DeFindexVault
         603  BlendStrategy
         567  config_rewards
         517  position_update
         508  POOL
         476  set_rewards_config
         362  stake
         348  withdraw_liquidity
         336  sw_v1
         332  claim
         278  deposit
         275  arb
         219  compound
         198  state
         189  role_granted
         180  collect
         152  storage
         145  rwd_add
         127  reflector
         110  claim_fees
         109  cmp_dep
          99  price_updated
          86  withdraw_rewards
          80  debitor_updated
          65  claim_protocol_fee
          57  Message
          54  repay
          48  fill_auction
          47  donate
          43  new_auction
          38  DEPLOYED
          38  INITIALIZED
          38  signer
          38  transfer_event
          37  AtomicSwapV2
          37  MessageSent
          37  ReceiveFee
          37  SwappedToVUsd
          37  TokensSent
          34  MessageReceived
          34  SwappedFromVUsd
          34  TokensReceived
          29  fight
          27  executable_update
          26  BridgingFeeFromTokens
          25  message_sent
          23  borrow
          23  queue_withdrawal
          22  deck
          21  commit_upgrade
          21  fee_acc
          21  flash_loan
          20  OrderCreated
          20  distribute_rewards
          19  OrderSettled
          19  SettlementTransferred
          19  reserve_emission_update
          18  SoroswapAggregator
          16  message_approved
          16  message_executed
          16  rewards_gauge_claim
          14  add
          14  blub_1st
          14  cfg_tok
          14  contract_called
          14  gas_paid
          14  interchain_transfer_sent
          14  man_pol
          14  pol_lp
          14  pol_pre
          14  tok_ord
          13  apply_upgrade
          13  recorded
          13  reward
