signature	event_count	distinct_contracts	distinct_txs	min_ledger	max_ledger
fee	792453	1	550122	62078346	62079999
transfer	638311	2336	48002	62078346	62079999
mint	89725	271	35105	62078346	62079998
burn	8748	54	8276	62078346	62079986
set_authorized	5400	14	1565	62078347	62079994
clawback	3420	10	1521	62078347	62079994
update_reserves	743	77	426	62078346	62079996
trade	725	74	408	62078346	62079996
__NULL__	625	31	101	62078346	62079576
swap	549	4	249	62078346	62079939
REDSTONE	98	1	98	62078350	62079990
REFLECTOR	96	3	96	62078373	62079991
score_submitted	70	1	70	62078405	62079960
supply	51	2	51	62078423	62079958
withdraw	49	2	49	62078368	62079979
withdraw_collateral	47	2	47	62078356	62079992
claim_reward	45	15	22	62078445	62079829
vault_withdraw	45	1	45	62078368	62079979
set_rewards_config	44	44	11	62079847	62079863
config_rewards	44	1	11	62079847	62079863
vault_deposit	43	1	43	62078529	62079958
charge_provider_fee	27	1	27	62078387	62079810
approve	26	5	24	62078360	62079885
supply_collateral	21	1	21	62078442	62079862
POOL	14	1	14	62078360	62079885
stake	12	1	12	62078778	62079484
deposit_liquidity	10	10	10	62078360	62079829
context_rule_added	9	9	9	62078411	62079783
withdraw_liquidity	8	4	8	62078540	62079669
repay	7	1	7	62078390	62078832
compound	7	1	7	62078577	62079829
flash_loan	7	1	7	62078390	62078832
state	6	1	6	62078782	62079484
claim	3	2	3	62078716	62079885
rwd_add	3	1	3	62078891	62079518
price_updated	3	1	3	62078578	62079828
deposit	2	1	2	62079444	62079885
add_pool	2	1	2	62079577	62079784
fill_auction	2	1	2	62078530	62079574
donate	2	1	2	62078530	62079574
simple_policy_enforced	2	1	1	62079035	62079035
MessageReceived	1	1	1	62079516	62079516
SwappedFromVUsd	1	1	1	62079661	62079661
contributor_assigned_event	1	1	1	62079557	62079557
cmp_dep	1	1	1	62079210	62079210
TokensReceived	1	1	1	62079661	62079661
new_auction	1	1	1	62079338	62079338
tree_updated	1	1	1	62078436	62078436
payment_event	1	1	1	62079035	62079035
funds_released_event	1	1	1	62079747	62079747
